APN,RegisteredDate,PropertyType,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender
7559031001,3/14/2017,Single Family,"635 S BYNNER DR
SAN PEDRO, CA 90732
(33.738399, -118.315752)",SAN PEDRO,CA,90732,15,US Bank National Association
2617013015,1/23/2017,Single Family,"14290 W MINNEHAHA ST
LOS ANGELES, CA 91345
(34.262011, -118.445272)",LOS ANGELES,CA,91345,7,Burbank City Federal Credit Union
6074014045,2/3/2017,Multi-Family,"221 1/2 W 110TH ST
LOS ANGELES, CA 90061
(33.935648, -118.277023)",LOS ANGELES,CA,90061,8,Dovenmuehle Mortgage Inc. C/o BDF Law
5690019023,2/16/2017,Single Family,"4858 N GLACIER DR
LOS ANGELES, CA 90041
(34.134479, -118.192065)",LOS ANGELES,CA,90041,14,Bank of America
5543023022,6/20/2017,Single Family,"1337 N KENMORE AVE
LOS ANGELES, CA 90027
(34.096465, -118.297216)",LOS ANGELES,CA,90027,13,"Wilmington Trust, National Associaiton C/O Select Portfolio Servicing"
2004021037,1/12/2017,Single Family,"22221 W TIOGA PL
LOS ANGELES, CA 91304
(34.228169, -118.611831)",LOS ANGELES,CA,91304,12,Freedom Mortgage
2108011008,3/3/2017,Single Family,"20730 W ROSCOE BLVD
LOS ANGELES, CA 91306
(34.219983, -118.585296)",LOS ANGELES,CA,91306,3,PROPERTY MANAGEMENT GROUP
5089011041,1/10/2017,Single Family,"750 S SPAULDING
LOS ANGELES, CA 90036
(34.061571, -118.358009)",LOS ANGELES,CA,90036,4,"Trojan Capital Investment, LLC"
2706020025,4/10/2017,Single Family,"10427 N VARIEL AVE
LOS ANGELES, CA 91311",LOS ANGELES,CA,91311,12,Fay Servicing LLC
2340002034,2/13/2017,Single Family,"5948 N WILKINSON AVE
LOS ANGELES, CA 91607
(34.17867, -118.40414)",LOS ANGELES,CA,91607,2,OK LLC
4107019014,1/10/2017,Multi-Family,"8413 S LILIENTHAL AVE
LOS ANGELES, CA 90045
(33.962031, -118.386067)",LOS ANGELES,CA,90045,11,JP Morgan Chase NA
2120008017,1/12/2017,Single Family,"7718 N HATTON PL
LOS ANGELES, CA 91335
(34.210997, -118.523332)",LOS ANGELES,CA,91335,12,"MUFG Union Bank, N.A."
5107008010,1/18/2017,Single Family,"1141 E 46TH ST
LOS ANGELES, CA 90011
(34.002031, -118.25534)",LOS ANGELES,CA,90011,9,REVERSE MORTGAGE SOLUTIONS
2509017008,5/26/2017,Single Family,"12880 N PHILLIPPI AVE
LOS ANGELES, CA 91342
(34.304576, -118.435617)",LOS ANGELES,CA,91342,7,"Ocwen Loan Servicing, LLC"
2250006025,1/18/2017,Single Family,"5431 N BURNET AVE
VAN NUYS, CA 91411
(34.169452, -118.462885)",VAN NUYS,CA,91411,4,Bank of America
